ID|CODE|MANU_INFO|DESCRIPTION|BUILDINGID
2373|2092|2092|SOCIAL PARLOR BALL DISPENSER|14
2374|HN15|LA58143|BROKENSHIRE APARTMENT 101|31
2375|1288|1288|FINE ARTS RTV STUDIO OVERHEAD|13
2376|HN19|LA58343|BROKENSHIRE APARTMENT 111|31
2377|FA263|LC54785|FINE ARTS SPEECH OFFICE 303|13
2378|SE16|LG74769|SEMINARY OFFICE 218|157
2379|FA264|LC74785|FINE ARTS SPEECH OFFICE 307|13
2380|SE17|LG94769|SEMINARY OFFICE 220|157
2381|SE18|LG14769|SEMINARY OFFICE 216|157
2382|SE19|LG56769|SEMINARY MACHINE ROOMS|157
2383|SE|LG30769|SEMINARY MASTERKEY|157
2384|FH48|LC86473X|219 STADIUM VIEW DRIVE|130
2385|HN13|LA98943|BROKENSHIRE APARTMENT 102|31
2386|HN17|LA98143|BROKENSHIRE APARTMENT 120|31
2387|AL08|HPC|LINC KEY BOX|47
2388|FR369|CHICAGO|WHM 208, PRESS TESTING DESK|67
2389|BP665|24314|BROKENSHIRE CCTV CABINET|31
2390|FH235|LC96769|121-A WHITE OAK DRIVE|141
2391|FA265|LC94785|FINE ARTS SPEECH OFFICE 309|13
2392|FH261|LC58369|115-B WHITE OAK DRIVE|140
2393|FA266|LC14785|FINE ARTS SPEECH OFFICE 312|13
2394|119|207|SAS NIGHT KEY RETURN BOX|25
2395|HN18|LA18143|BROKENSHIRE APARTMENT 121|31
2396|C004A|64422|POST OFFICE CABINET DRAWERS|14
2397|GBBX|LA38789|GARRETT COLONIAL LIFE MASTER|150
2398|FH217|LC54769|19 PROF'S PLACE|87
2399|HN20|LA78343|BROKENSHIRE APARTMENT 122|31
2400|FH237|LC56969|121-B WHITE OAK DRIVE|142
2401|GF541|GF541|DESK IN FILE ROOM|3
2402|EOAX|E612725|Activities organizations exterior|14
2403|GB7|LA58189|GARRETT CLINIC TELECOM ROOM|150
2404|C092A|42664|CLEANERS DROP BOXES|24
2405|FH258|LC78169|7 SENNET DRIVE|105
2406|HN21|LA98343|BROKENSHIRE APARTMENT 123|31
2407|B620|CHICAGO|FINE ARTS STUDIO 236 DESK|13
2408|HN16|LA78143|BROKENSHIRE APARTMENT 103|31
2409|HN14|LA18943|BROKENSHIRE APARTMENT 104|31
2410|JAA252|LA94965|UP APARTMENT 142|57
2411|SE20|LG76769|SEMINARY CLASSROOMS|157
2412|T33|T33|FINE ART SPEECH TROPHY CASE|13
2413|104R   (A)|ESP|ANNEX OFFICE DESK|40
2414|HN22|LA18343|BROKENSHIRE C/0 DESK OFF. 109|31
2415|C200A|44426|ACADEMY H-212, COMP LAB CAB|65
2416|ML35|12541|GYM, MISS JURY'S EQUIPMENT|21
2417|C040A|26626|GREENHOUSE OFFICE DESK|147
2418|C159A|46644|ACADEMY OUTSIDE MESSAGE BOARD|62
2419|GL3|LA74703|GREENHOUSE MIDDLE OFFICE|147
2420|72644|AMERICAN|LOCKOUT PADLOCK|34
2421|BS7|A2214J|old WHM 103, LOCKSMITH OFFICE|67
2422|GL4|LA94703|GREENHOUSE VICK OFFICE|147
2423|D105   (W)|NATIONAL|WMUU SALES FILE CABINET|54
2424|HON187|ESP|WHM 203 ENVIR SAFE DIR DESK|67
2425|SC|C52305|SPECIAL MASTERKEY|66
2426|C086A|26464|FINE ARTS ROOM 25 CABINETS|13
2427|106    (S)|FORT LOCK|SOCIAL PARLOR POOL TABLE|14
2428|226    (S)|FORT LOCK|SOCIAL PARLOR FOOSBALL TABLE|14
2429|142R|ESP|FILE  / DESK CABINET|47
2430|AL43|LB96785|ANNEX OFFICE|40
2431|PE|LB84600X|UNIVERSITY GYM MASTER - OLD|21
2432|HON380|HUDSON|FINE ARTS 214 FILE CABINET|13
2433|PE1|LB84375X|ALUMNI STADIUM RADIO BOOTH|21
2434|3846|MASTER|LOCKOUT PADLOCK|67
2435|143E|ESP|WHM FILE CABINET - BOB PREIST|68
2436|107|3210|ACAD DISPLAY CABINET/BOOKSTOR|60
2437|10L083|40344|BACK HOE CONTROLS|
2438|C075A|44442|DESKS IN PRES ASST'S OFFICE|3
2439|C063A|42462|DR. DEUINK'S DESK & CREDENZA|3
2440|PE2|LB84335X|STADIUM BLEACHER DOORS|21
2441|C178A|46464|BILLBOARD OUTSIDE FRONT DOOR|12
2442|C038A|26662|HOSPITAL, OR NARCOTICS BOX|20
2443|POM|A3579K|POST OFFICE MASTER|14
2444|HON205|ESP|PRINT SHOP OFFICE DESK|
2445|JAA105|LA52969|UP APARTMENT  72|55
2446|PR1|LA63348X|WHM 209 EDUCATORS MARKETPLACE|68
2447|PR2|LA63346X|WHM 210, 211, PRESS OFFICES|68
2448|PR3|LA63340X|WHM 209, 210, 211, MASTER KEY|68
2449|PS|E636727|PUBLIC SAFETY MALL|67
2450|PS2|A1518P|NOT IN USE AT PRESENT TIME|67
2451|PS3|A1533P|NOT IN USE AT PRESENT TIME|67
2452|JAA106|LA72969|UP APARTMENT 115|57
2453|29668|29668|ALUMNI MEDIA CENTER COPIER|37
2454|P192|1204|LOCKOUT PADLOCK|67
2455|P226|P226|ALUMNI OFFICE 22 DESK|37
2456|P227   (A)|P227|ALUMNI OFFICE 19 DESK|37
2457|P228|P228|ALUMNI OFFICE 13 DESK|37
2458|P230|P230|ALUMNI OFFICE 14 DESK|37
2459|P231|P231|ALUMNI OFFICE 14 DESK|37
2460|P232|P232|ALUMNI OFFICE 15 DESK|37
2461|P233|P233|ALUMNI OFFICE 20 DESK|37
2462|P234|P234|ALUMNI OFFICE 15 DESK|37
2463|P238  (AL)|P238|ALUMNI OFFICE 16 DESK|37
2464|P239|P239|ALUMNI OFFICE 16 DESK|37
2465|4272PO|NATIONAL|UP PARCEL MAILBOX|57
2466|P250|P250|ALUMNI OFFICE 16 DESK|37
2467|P251|P251|ALUMNI OFFICE 17 DESK|37
2468|P252|P252|ALUMNI OFFICE 17 DESK|37
2469|P253|P253|ALUMNI OFFICE 17 DESK|37
2470|P254|P254|ALUMNI OFFICE 18 DESK|37
2471|P255  (AL)|P255|ALUMNI OFFICE 18 DESK|37
2472|P256|P256|ALUMNI OFFICE 18 DESK|37
2473|P257|P257|ALUMNI OFFICE 19 DESK|37
2474|P258|P258|ALUMNI OFFICE 13 DESK|37
2475|P259|P259|ALUMNI OFFICE 18 DESK|37
2476|P260|P260|ALUMNI OFFICE 15 DESK|37
2477|P261|P261|ALUMNI OFFICE 20 DESK|37
2478|P262|P262|ALUMNI OFFICE 20 DESK|37
2479|P263|P263|ALUMNI OFFICE 21 DESK|37
2480|P264|3243|LOCKOUT PADLOCK|49
2481|P265|P265|ALUMNI OFFICE 21 DESK|37
2482|P266|2424|LOCKOUT PADLOCK|67
2483|P267|P267|ALUMNI OFFICE 22 DESK|37
2484|P268|P268|ALUMNI OFFICE 22 DESK|37
2485|P269|P269|ALUMNI OFFICE 23 DESK|37
2486|P270|P270|ALUMNI OFFICE 24 DESK|37
2487|P271|P271|ALUMNI OFFICE 23 DESK|37
2488|P272|P272|ALUMNI OFFICE 24 DESK|37
2489|P273|P273|ALUMNI OFFICE 23 DESK|37
2490|P274|P274|ALUMNI OFFICE 24 DESK|37
2491|P288|P288|ALUMNI OFFICE 13 DESK|37
2492|P378|5404|LOCKOUT PADLOCK|34
2493|P441|ILLINOIS|NARCOTIC BOX EMERGENCY ROOM|20
2494|P450|4422|LOCKOUT PADLOCK|67
2495|P458|ILLINOIS|NARCOTIC BOX EMERGENCY ROOM|20
2496|ML43|14567|WELD SHOP PADLOCK, LOCKER|34
2497|P494|4415|WHM 101, SHEET METAL SHEAR|67
2498|P499|1453|LOCKOUT PADLOCK|67
2499|P507|2423|LOCKOUT PADLOCK|67
2500|P508|5402|LOCKOUT PADLOCK|67
2501|P512|3234|LOCKOUT PADLOCK|67
2502|P517|2232|JOHNSON STORAGE PADLOCK|29
2503|P540|3435|LOCKOUT PADLOCK|67
2504|P545|4132|LOCKOUT PADLOCK|67
2505|P549|4434|LOCKOUT PADLOCK|34
2506|P583|4242|LOCKOUT PADLOCK|67
2507|P589|4243|LOCKOUT PADLOCK|67
2508|P608|1355|LOCKOUT PADLOCK|67
2509|P614|4211|LOCKOUT PADLOCK|159
2510|P615|4455|ART GALLERY CHANDALIER PADLK|12
2511|P624|1415|LOCKOUT PADLOCK|67
2512|P748|1341|SMALL PAD LOCK|38
2513|182R|ESP|SEMINARY SECRETARY FILE CAB|157
2514|P769|3525|LOCKOUT PADLOCK|67
2515|P847|2312|MEDIA CENTER VIDEO MONITOR|37
2516|P848|4325|SAS MACHINE SHOP TOOLBOX|10
2517|R|CORBIN R|KEY CONTROL BOX RIGHT|16
2518|RDD|A2179D|FMA AUDIO SERVICES MASTER KEY|15
2519|RR1|LE68935X|FM TRANSMITTER - BUILDING 2|71
2520|R01|R01|ALUMNI OFFICE  7 DESK|37
2521|JAA107|LA92969|UP APARTMENT  26|55
2522|R11|LA64313X|WHM C8, STORAGE nolonger in use|68
2523|TCM|LA12949|PRINT SHOP TELECOM ROOM|23
2524|R136|R136|GASTON COSMETOLOGY DESK, HILL|8
2525|SC1000|SC1000|CVA ELEVATOR FIRE CONTROL|39
2526|HON123 (C)|ESP|CLEANERS OFFICE CABINET|24
2527|B35426|LUSTER LIN|VESPERS CLOTHES WARDROBES|15
2528|CO46A||gaston cosmetology cash drawer|
2529|HON136|ESP|CLEANERS ASSIST MANAGER DESK|24
2530|B615   (A)|CHICAGO|M&G @ BJU OFFICE DESK|12
2531|HON344|HUDSON|ED TECH FILE CABINET|47
2532|HON405|HUDSON|SCIENCE SC209 FILE CABINET|18
2533|HON417|HUDSON|ED TECH FILE CABINET|47
2534|R9072|DUO|MED CABINET 3RD FLOOR|20
2535|S102|CHICAGO|REVEAL HELP DESK FILE CABINET|30
2536|S PAD 1|ARMY PAD|ANNEX STORAGE|40
2537|BLF1 not in use|LA74149|BOOKSTORE LOST AND FOUND|
2538|SCM|A3579YC|STUDENT CENTER MASTER|14
2539|SCSM|A3579J|SNACK SHOP SUB MASTER|14
2540|SDD|A5979E|FMA STAGE MASTER KEY|15
2541|C361A|22204|ALUMNI DESK KEY (COLLINS)|37
2542|JAA108|LA12969|UP APARTMENT 122|57
2543|JAA189|LA54163|UP APARTMENT  94|55
2544|SL540|SOUTHERN K|ACADEMY MAIL CREDENZAS|62
2545|SR251|YALE|SQUARE D BREAKER PANELS|67
2546|SS689|44145  Y11|ALUMNI 112 VIDEO CART|37
2547|SYZCZ|EAGLE|WHM C18, GLASS EQUIPMENT BOX|68
2548|S001|S001|STROMBERG CLOCK|67
2549|S100|CHICAGO|FILE CABINET|149
2550|HON356|44351|HOSPITAL QA FILE CABINET|20
2551|S114|CHICAGO|FILE OFFICE 6|25
2552|869|3363|SCIENCE MICROSCOPE TABLE|18
2553|S17|LB48137X|COGEN, CHAPMAN'S OFFICE|34
2554|BER 52|LA78743|BROKENSHIRE 311|31
2555|S10|LB41637X|COGEN exterior|34
2556|FR356|353115K104|WHM 111, ASS'T DIRECTOR DESK|67
2557|BR53|LA98743|BROKENSHIRE 312|30
2558|BER54|LA18743|BROKENSHIRE 313|31
2559|BER55|LA58943|BROKENSHIRE 314|31
2560|BER56|LA78943|BROKENSHIRE 315|31
2561|FO14|LA72745|SIDDONS ROOM 232|7
2562|MW3|LA54949|WHM 112, DISTRIBUTION TOOLS|67
2563|S8|LB46133X|WHM C16, STORAGE|67
2564|S9|LB44637X|COGEN, MACHINE SHOP|34
2565|T|LA88600X|DINING COMMON MASTER|159
2566|BR2|LA92149|NOT IN USE AT PRESENT TIME|155
2567|TT408|COLE|MICROFICHE CAB|36
2568|TT412|COLE|MICROFICHE CAB|36
2569|T1|LA88035X|DINING COMMON EXTERIOR OLD|159
2570|CO46A||cosmetology cash drawer|8
2571|T10|LA88457X|LAUNDRY CLEAN UP|159
2572|T11|LA88437X|OFFICE AND CHEMICAL STORAGE|159
2573|T112   (C)|ILLINOIS|COGEN, EMERGENCY TEST/CONTROL|34
2574|T12|LA88035X|SOUTH BALCONY|159
2575|T13|LA88215X|BLUE ROOM AND KITCHEN|159
2576|T14|LA88275X|DINING COMMON BOY'S LINEN RM|159
2577|T15|LA88417X|BACK DOOR|159
2578|T1610|T1610|COGEN, MACHINE SHOP TOOL BOX|34
2579|T18|LA64355X|DINING COMMON GIRL'S LINEN RM|159
2580|T19|LA55665X|DINING COMMON VENDING OFFICE|159
2581|T19A|LA457849|VENDING COUNTING ROOM|159
2582|T2|LA88413X|OFFICE BAKER STORAGE|159
2583|T201|NATIONAL|FILE CABINET ANNEX HAGAN|40
2584|T223|NATIONAL|SAS TRADE BUILDING FILE CAB|25
2585|T227|T227|WHM 108, MARK LYONS' FILE|67
2586|T250|T250|FILE CABINET|40
2587|T3|LA88073X|PERSONNEL OFFICE|159
2588|T4|LA88435X|LAUNDRY AND STORAGE|159
2589|T44|T44|MATERIAL CHECK IN CLOCK|23
2590|T45|KENSTAN T4|FIRE ALARM CONTROLS, OLD DORM|31
2591|T5|LA88233X|EQUIPMENT ROOM TO ROOF|159
2592|88353|AMERICAN|LOCKOUT PADLOCK|34
2593|T595|GFT595|FILE CABINETS|3
2594|HON150 (A)|ESP|ACADEMY OFFICE H-2 FILE CAB|59
2595|T597  (FA)|T597|FINE ARTS RTV OFFICE 1|13
2596|T598|T598|SPEECH OFFICE 309 FILE CAB|13
2597|T599|NATIONAL|WHM 108, KEY FILE CABINET|67
2598|T6|LA88075X|DINING COMMON MAINT SHOP|159
2599|T600|T600|WHM 110, FILE CABINET|67
2600|T603|4860|PAYROLL FILE CABINETS|3
2601|T7|LA88215X|ELEVATOR EQUIPMENT ROOM|159
2602|T76|GF|FILE CAB FA18|13
2603|T8|LA88277X|RESTROOM|159
2604|T80|GF|FILE CAB FA18|13
2605|T83|GF|STUDENT A&O FILE CABINET|30
2606|T85|GF|FILE CAB FA18|14
2607|T88|GF|FILE CAB FA18|13
2608|T9|LA88257X|HOSTESS OFFICE AND STORAGE|159
2609|104R|ESP|ED TECH DESK / FILE|47
2610|U37975|SARGENT|ANNEX DELIVERY DOOR|40
2611|V59|MASTER|COMBINATION PADLOCK MASTER|66
2612|V67|MASTER|GASTON COSMETOLOGY LOCKERS|8
2613|HON309|HUDSON|ANNEX PUBLIC SAFETY FILE CAB|40
2614|WB33|CHICAGO|COGEN KEY BOX|34
2615|WEM1|WEM1|WESTINGHOUSE BREAKER PANELS|16
2616|WEM2|WEM2|STRATTON HALL BREAKER PANEL|14
2617|WGF|A1619S|WMUU EXTERIOR DOORS AND GATE|54
2618|WHM1|LA67456X|ADMIN SECRETARY OFFICE TEMP|3
2619|WHM3|LA75467X|WHM C15, DAVE BROWN'S AREA|67
2620|C146A|20020|ACADEMY B-104 CABINETS|64
2621|WMU6|F48985|WMUU OFFICES ON LOWER LEVEL|54
2622|WMU7|F48765|WMUU OFFICES ON LOWER LEVEL|54
2623|D227A|26426|WHM 103, HVAC TOOL LOCKER  7|66
2624|JW5|LA52705|CVA EQUIPMENT ROOMS|39
2625|JW63|LB12305|CVA APARTMENT B-402|39
2626|JW59|LF12705|CVA APARTMENT B-401|39
2627|W101451|W101451|407 LIBRARY DRIVE - BACK|84
2628|JW71|LB74705|CVA APARTMENT B-407|39
2629|JW97|LG94305|CVA APARTMENT B-408|39
2630|JW80|LF92305|CVA APARTMENT B-409|39
2631|JW100|LG76705|CVA APARTMENT B-410|39
2632|P502|MASTER|LOCKOUT PADLOCK|
2633|JW95|LF54305|CVA APARTMENT B-412|39
2634|PS16|LK12769|PRESS WAREHOUSE TOOL ROOM|23
2635|BS8|A2235J|WHM 102 ART GALLERY STORAGE F|66
2636|BS9|A2215J|WHM 102 ART GALLERY STORAGE R|66
2637|BS10|A2207J|PAINT SHOP OFFICE|70
2638|BS11|A2202J|NOT IN USE AT PRESENT TIME|18
2639|BS12|A2201J|ANNEX ACAD OF HOME ED OFFICE|40
2640|1|1|LIBRARY RECORDS OFFICE FILE|36
2641|D228A|26466|WHM 103, HVAC TOOL LOCKER 15|66
2642|JW13|LB14305|CVA ELEVATOR MACHINE ROOM|39
2643|FF     (A)|A5879A|TRANSPORTATION PARTS ROOM|149
2644|JW14|LB56705|CVA C WING STORAGE ROOM (2)|39
2645|E005A|44204|WHM 105, LEO'S CABINETS|67
2646|C198A|44664|ALUMNI MEDIA CENTER TEST CAB|37
2647|JAA156|LA18969|UP APARTMENT  36|55
2648|JAA160|LA18169|UP APARTMENT  25|55
2649|EX512|FORT LOCK|HOSPITAL ELEVATOR STOP SWITCH|20
2650|JW4|LE56705|CVA A & C WING LAUNDRY ROOMS|39
2651|D229A|26462|WHM 103, HVAC TOOL LOCKER 19|66
2652|D230A|22462|WHM 103, HVAC TOOL LOCKER 27|66
2653|203   (DC)|FORT 15151|KOTEX MONEY BOX, OLD STYLE|159
2654|HON392|HUDSON|AUTOSHOP/ANNEX FILE CABINET|149
2655|C151A|24424|ALUMNI R00M 106, TV/VCR CAB|37
2656|CC19|LA72749|SOCIAL PARLOR POWDER ROOM NIU|14
2657|ER5|A1923Y|REVEAL SUPERVISOR OFFICE,-NIU|30
2658|JW38|LB72705|CVA APARTMENT C-113 - NIU|39
2659|M|LK11600X|WHM MAINTENANCE MASTER KEY|67
2660|JAA109|LA52169|UP APARTMENT  56 & 58-NIU|55
2661|EX513|FORT LOCK|HOSPITAL ELEVATOR FAN SWITCH|20
2662|C003A|24426|SAS CABINETS / FA CABINET|25
2663|HON110 (E)|ESP|BJES PRINCIPAL'S OFFICE DESK|43
2664|SS621|ESP|BJES PC BOOK MOBILE|67
2665|JL6|LG72943|LINC DIRECTOR'S OFFICE|47
2666|JAA139|LA96969|UP CUSTODIAL CLOSET|55
2667|JAA140|LA16969|UP APARTMENT   2 - OFFICE|55
2668|P640|MASTER|LOCKOUT PADLOCK|67
2669|P379|MASTER|LOCKOUT PADLOCK|66
2670|CL04|LA16749|CLEANERS DORM CLOSETS|24
2671|304|4365|TRANSPORTATION KEY CABINETS|149
2672|305|4965|TRANSPORTATION KEY CABINET|149
2673|HON138|ESP|WHM 210 PRESS FILE CABINET|68
2674|JL7|LG92943|LINC/SAS GATE|47
2675|ML27|54741|AIRPORT TOOL LOCKERS|153
2676|JWG5|LE92705|CVA GUEST ROOM C-103|39
2677|CB1|LA14749|CHEMICAL BUILDING AND GATE|42
2678|C440A|20464|PRINT SHOP KEY BOX|23
2679|OP2|LA72789|AIRPORT HANGER CHIEF INSTRUCT|153
2680|8D|SQUARE D|COGEN FUEL TRANSFER SWITCH|34
2681|LL20|FORT LOCK|BOOK STORE CARDBOARD BALER|14
2682|PS20   (A)|24646|PRINT SHOP DESK|23
2683|C104A|42246|ACADEMY LINC CABINET|64
2684|HON404|HUDSON|PRESS BUS MAN SECRETARY FILES|40
2685|D094A|42224|FINE ARTS ROOM 216, CABINET ?|13
2686|OP3|LA52989|AIRPORT HANGER PARTS ROOM|153
2687|E025A|2044|FINE ARTS ROOM 216 CAB MASTER|13
2688|C078A|46444|WHM 108, ENGINEERING RADIO BX|67
2689|JCM1A|JCM1A|METASIS CABINET HARDWARE DOOR|67
2690|OP4|LA72989|AIRPORT HANGER MECHANICS OFF|153
2691|C103A|42242|HOSPITAL PRESCRIPTION CABINET|20
2692|F84|HUDSON|ANNEX PRESS FILE CABINET|40
2693|OP5|LA52189|AIRPORT HANGER CORP OFFICE 1|153
2694|CMRC|C810129|Johnson lost and found|29
2695|JW46|LB72305|CVA APARTMENT A-303|39
2696|JW47|LB92305|CVA APARTMENT A-201|39
2697|H376|H376|BLACK FILE CAB, SMC'S OFFICE|3
2698|OP6|LA72189|AIRPORT HANGER CORP OFFICE 2|153
2699|CORP170|CORP|UPSTAIRS BUSINESS OFFICE FILE|3
2700|JCM1B|JCM1B|METASIS CABINET OUTER DOOR|67
2701|OP7|LA52389|AIRPORT HANGER DIRECTOR OFF|153
2702|JWG6|LE12705|CVA GUEST ROOM C-104|39
2703|OPA|LA32789|AIRPORT HANGER SUB MASTER A|153
2704|OPB|LA32989|AIRPORT HANGER MECHANIC MASTR|153
2705|C030A|62266|EXTENSION OFFICE DESK|3
2706|JW33|LJ54705|CVA APARTMENT, MAY BE REUSED|39
2707|JW75|LN72105|CVA APARTMENT A-401|39
2708|OP8|LA92789|AIRPORT HANGER INSTRUCTORS|153
2709|JAA141|LA56169|UP APARTMENT  73|55
2710|JAA142|LA76169|UP APARTMENT  40|55
2711|JAA143|LA96169|UP APARTMENT  22|55
2712|JAA144|LA16169|UP APARTMENT  10|55
2713|JWG7|LE92105|CVA GUEST ROOM C-106|39
2714|JW55|LG72105|CVA APARTMENT B-106|39
2715|JW37|LB52705|CVA APARTMENT B-105|39
2716|JW48|LG52705|CVA APARTMENT B-104|39
2717|JW68|LG94705|CVA APARTMENT B-103|39
2718|JW81|LF12305|CVA APARTMENT B-107|39
2719|JW92|LG94105|CVA APARTMENT B-108|39
2720|JW84|LF94705|CVA APARTMENT B-109|39
2721|JW79|LF72305|CVA APARTMENT B-110|39
2722|JWG8|LE12105|CVA GUEST ROOM A-206|39
2723|JW94|LG54305|CVA APARTMENT B-111|39
2724|JW56|LG92105|CVA APARTMENT B-206|39
2725|JW52|LG12705|CVA APARTMENT B-205|39
2726|JW49|LG72705|CVA APARTMENT B-204|39
2727|JW69|LB54705|CVA APARTMENT B-203|39
2728|JW64|LG12305|CVA APARTMENT B-202|39
2729|JW61|LG72305|CVA APARTMENT B-201|39
2730|JW82|LF54705|CVA APARTMENT B-207|39
2731|JW93|LG14105|CVA APARTMENT B-208|39
2732|JAA145|LA56369|UP APARTMENT  44|55
2733|JW86|LF54105|CVA APARTMENT B-209|39
2734|JW78|LF52305|CVA APARTMENT B-210|39
2735|JW91|LG74105|CVA APARTMENT B-211|39
2736|JW85|LF14705|CVA APARTMENT B-212|39
2737|JW57|LG12105|CVA APARTMENT B-306|39
2738|JW53|LG52105|CVA APARTMENT B-305|39
2739|JW50|LG92705|CVA APARTMENT B-304|39
2740|JW70|LG14705|CVA APARTMENT B-303|39
2741|JW65|LG54705|CVA APARTMENT B-302|39
2742|JW62|LG92305|CVA APARTMENT B-301|39
2743|JAA146|LA76369|NOT IN USE AT PRESENT TIME|55
2744|JW87|LF74105|CVA APARTMENT B-307|39
2745|JW89|LF14105|CVA APARTMENT B-308|39
2746|JW96|LG74305|CVA APARTMENT B-309|39
2747|JW83|LF74705|CVA APARTMENT B-310|39
2748|JW98|LG14305|CVA APARTMENT B-311|39
2749|JW88|LF94105|CVA APARTMENT B-312|39
2750|JW58|LF92705|CVA APARTMENT B-406|39
2751|JW54|LF72705|CVA APARTMENT B-405|39
2752|JW51|LF52705|CVA APARTMENT B-404|39
2753|JW66|LF52105|CVA APARTMENT B-403|39
2754|X|LA41600X|HOSPITAL MASTER KEY|20
2755|XAJS12|A2228Q|APPLIED STUDIES HVAC ROOM|25
2756|XAK|A2222P|TELECOMMUNICATIONS EXTERIOR|12
2757|XAK1|A2228P|TELECOMMUNICATIONS EQUIPMENT|12
2758|XBEX|A2720H|ALUMNI OFFICE WING HALL DOORS|37
2759|XBK1|A2222X|BJES EXTERIOR DOORS & OFFICE|43
2760|XBK2|A2228X|BJES EQUIPMENT ROOM|43
2761|XBS1|A2230J|SCIENCE EXTERIOR DOORS|18
2762|XB3|A1428B|ART GALLERY MECHANICAL ROOM|12
2763|XCC1|A2188C|STUDENT CENTER EXTERIOR - OLD|14
2764|XCC7|A2822C|STUDENT CENTER EXTERIOR - NEW|14
2765|XCP2|A3522K|POST OFFICE FRONT DOORS|14
2766|XC1|A3522F|BOOK STORE & SNACK EXTERIOR|14
2767|XC11|A3526F|STUDENT CENTER PHOTO LAB|14
2768|XC3|XC3|REFRIGERATORS|159
2769|XDD1|A2822D|FMA EXTERIOR DOORS|15
2770|XDD13|A2159E|FMA AUDIO CONTROL BOOTH|15
2771|XDD14|A5928E|FMA LIGHT CONTROL BOOTH|15
2772|XDD17|A2821E|FMA MECHANICAL & ELECTRICAL|15
2773|XDD2|A2824D|FMA RUPP ASSEMBLY ROOM|15
2774|XDD21|A2822E|FMA PERFORMERS ONLY ENTRANCES|15
2775|XDD5|A2122D|FMA AUDIO SERVICES ENTRANCES|15
2776|ESCMB|E478785|SHEPHERDS CARE MASTERINTERIOR|
2777|XEG1|A2513Y|Ironside EXTERIOR DOORS-NIU|33
2778|XEH1|A3213Y|SMITH EXTERIOR DOORS-NIU|32
2779|XEJ1|A1822Y|JOHNSON EXTERIOR DOORS -NIU|29
2780|XEJ2|A1828Y|JOHNSON EQUIPMENT ROOMS|29
2781|XER1|A1913Y|REVEAL EXTERIOR DOORS-NIU|30
2782|XER7|A3322Y|REVEAL EQUIPMENT ROOM-NIU|30
2783|XFF1|A2222A|WMUU AM TRANSMITTER-NIU|73
2784|XFGC1|A2513A|CREEL EXTERIOR DOORS -NIU|11
2785|XFI1|A2036A|GRACE HAIGHT EXTERIOR DOORS|4
2786|XFJ1|A3213A|SUNDAY EXTERIOR DOORS-NIU|10
2787|XFK1|A1913A|MACK EXTERIOR DOORS-NIU|9
2788|XFL1|A2530B|GASTON EXTERIOR DOORS|8
2789|XFL2|A2428B|GASTON MECHANICAL TUNNEL|8
2790|XFO1|A2013B|SIDDONS EXTERIOR DOORS-NIU|7
2791|XGG1|A2230E|LIBRARY EXTERIOR DOORS|36
2792|XGG2|A2234E|LIBRARY OFFICES|36
2793|GG3|A2216E|LIBRARY JERUSALEM CHAMBER|36
2794|XGG4|A2628E|LIBRARY COMPUTER LAB, CHILLER|36
2795|XHL68|XHL68|BJES ROOM 6E DESK|43
2796|XHL75|XHL75|BJES PIANO STUDIO DESK|43
2797|XHL76|XHL76|BJES MUSIC ROOM DESK|43
2798|XLS300|HUDSON|BAND PERCUSSION CABINET|63
2799|XMK|HUDSON|ACADEMY BAND LOCKER MASTER|63
2800|XPS1|A1522P|NOT IN USE AT PRESENT TIME|67
2801|C265A|440|PRODUCT DEVELOPEMENT DISPLAY|67
2802|X10|LA45455X|HOSPITAL ROOM D|20
2803|X11|LA47417X|HOSPITAL GROUND FLOOR STORAGE|20
2804|X12|LA47075X|HOSPITAL GENERATOR ROOM|20
2805|X14|LA45437X|HOSPITAL STAFF DINING ROOM|20
2806|X15|LA45417X|not in use|20
2807|X16|LA45435X|HOSPITAL PHARMACY STORAGE RM.|20
2808|X17|LA45475X|HOSPITAL PHARMACY|20
2809|X18|LA45473X|barge science office 105|20
2810|X19|LA45477X|HOSPITAL Amy Tuck OFFICE|20
2811|X2|LA47035X|HOSPITAL KITCHEN|20
2812|X20|LA47413X|HOSPITAL LABORATORY|20
2813|X21|LA47415X|brarge science office114,  116|20
2814|X22|LA47435X|HOSPITAL X-RAY ROOM|20
2815|X23|LA47433X|HOSPITAL X-RAY STORAGE|20
2816|X24|LA45433X|HOSPITAL GAS AND HVAC ROOMS|20
2817|X25|LA47077X|HOSPITAL PENTHOUSE|20
2818|X26|LA45413X|HOSPITAL ELEVATOR ROOM|20
2819|X27|LA79449X|barge office 118|20
2820|X28|LA37849X|Barge science office 120|20
2821|X29|LA69348X|barge science office 101|20
2822|X3|LA47057X|HOSPITAL CLEAN-UP CLOSET|20
2823|X30|LA47568X|HOSPITAL BASEMENT OFFICE|20
2824|X31|LA39449X|HOSPITAL STORAGE|20
2825|X4|LA47073X|barge science office 111|20
2826|X5|LA47055X|HOSPITAL ELECTRICAL CLOSET|20
2827|X756|HUDSON|BAND LOCKER #26 & #93|63
2828|X6|LA47053X|barge science office 113|20
2829|X7|LA47037X|barge science office 112|20
2830|X750|HUDSON|BAND LOCKER #30 & #69|63
2831|X752|HUDSON|BAND LOCKER #57|63
2832|X753|HUDSON|BAND LOCKER #15|63
2833|X754|HUDSON|BAND LOCKER #99|63
